Drug	GeneID
Ergoloid mesylate	285242
Dihydroergocornine	285242
Gilteritinib	285242
Ethanol	285242
Paroxetine	285242
Dihydroergocristine	285242
Diazepam	200959
Prazepam	200959
Triazolam	200959
Quazepam	200959
Nitrazepam	200959
Estazolam	200959
Halazepam	200959
Flurazepam	200959
Clotiazepam	200959
Oxazepam	200959
Temazepam	200959
Bromazepam	200959
Flavin mononucleotide	6446
Quinidine	3775
Quinidine barbiturate	3775
Ibutilide	3775
Pregnenolone	6820
Prasterone	6820
Mifamurtide	7099
Lauric acid	7099
Naloxone	7099
Papain	7099
Cyclobenzaprine	7099
NADH	4728
Glutamic acid	2918
Fostamatinib	658
Sucrose	475
Cisplatin	475
Dextromethorphan	10857
Nortriptyline	10857
Sertraline	10857
Copper	1192
Nimodipine	785
Dronedarone	785
Trimebutine	785
Manidipine	785
Phenytoin	785
Topiramate	785
Bioallethrin	785
Lacidipine	785
Spironolactone	785
Butamben	785
Fish oil	785
Levomenthol	785
Ranolazine	785
Ergocalciferol	785
Copanlisib	5293
Duvelisib	5293
Fostamatinib	5293
Idelalisib	5293
Caffeine	5293
Glutamic acid	6512
Caffeine	5138
Fostamatinib	10733
Isoprenaline	5296
Ascorbic acid	5352
NADH	4697
Fostamatinib	2166
Thiopental	2166
Ergocalciferol	773
Levomenthol	773
Trimebutine	773
Bioallethrin	773
Bepridil	773
Manidipine	773
Verapamil	773
Phenytoin	773
Loperamide	773
Spironolactone	773
Lacidipine	773
Butamben	773
Estazolam	2568
Alprazolam	2568
Flurazepam	2568
Butabarbital	2568
Enflurane	2568
Nitrazepam	2568
Quazepam	2568
Methoxyflurane	2568
Pentobarbital	2568
Temazepam	2568
Stiripentol	2568
Medroxyprogesterone acetate	2568
Sevoflurane	2568
Halazepam	2568
Lamotrigine	2568
Desflurane	2568
Oxazepam	2568
Triazolam	2568
Prasterone	2568
Butalbital	2568
Talbutal	2568
Brexanolone	2568
Clonazepam	2568
Etomidate	2568
Isoflurane	2568
